,Actual,SARIMAX Temperature Forecast,Lower 95% CI,Upper 95% CI,Observed Berlin Temperature
2019-10-20,56132.791666666664,42986.184060405554,-11509.699186091573,97482.06730690268,14.257142857142856
2019-10-27,56484.41071428572,43417.33111585284,-12540.775478662108,99375.43771036778,13.185714285714285
2019-11-03,55029.630952380954,39131.95467808529,-18232.983513025363,96496.89286919594,5.914285714285714
2019-11-10,58159.36309523809,43512.77313602353,-15310.670652217137,102336.21692426418,7.3428571428571425
2019-11-17,59112.23809523809,44175.59237217437,-16298.167496235372,104649.3522405841,4.714285714285714
2019-11-24,59735.94047619047,43946.802784323205,-18139.57113453527,106033.17670318167,7.071428571428571
2019-12-01,59842.833333333336,44337.86382913273,-19280.179848864733,107955.90750713019,4.8
2019-12-08,61059.29761904762,45167.383233255896,-20168.214615948236,110502.98108246003,3.8857142857142857
2019-12-15,61242.19047619047,44102.88552267204,-22959.092174985948,111164.86322033004,3.4857142857142853
2019-12-22,56836.767857142855,38392.50586690996,-30346.909048265916,107131.92078208583,6.114285714285714
2019-12-29,46505.30952380953,28387.905798783202,-42092.1211656697,98867.93276323611,3.257142857142857
2020-01-05,50161.70238095238,34481.61567865533,-37812.8915453355,106776.12290264617,2.6142857142857143
2020-01-12,59077.59523809524,38279.87651928759,-35779.26669031101,112339.01972888618,5.2
2020-01-19,60361.69642857143,39303.38631692878,-36561.75743215192,115168.53006600948,6.071428571428571
2020-01-26,60893.732142857145,37771.17751154008,-39938.98466490905,115481.33968798921,1.5142857142857142
2020-02-02,60839.19642857143,37049.330133577045,-42508.344078937014,116607.0043460911,6.457142857142857
2020-02-09,60259.83928571428,36346.55924613607,-45054.56020509499,117747.67869736714,5.242857142857143
2020-02-16,60845.125,35301.296498427,-47988.12988226176,118590.72287911575,5.685714285714285
2020-02-23,59787.32738095238,34254.27064534253,-50919.258900697816,119427.80019138288,6.557142857142857
2020-03-01,58899.13690476191,35839.43939272961,-51226.97728701887,122905.85607247808,4.928571428571429
2020-03-08,58688.47023809524,31828.633560192273,-57143.42610574608,120800.69322613064,4.742857142857143
2020-03-15,58534.23809523809,32475.41200843814,-58419.18480475055,123370.00882162683,6.471428571428571
2020-03-22,55372.744047619046,31430.101717907688,-61380.20091111952,124240.4043469349,6.8428571428571425
2020-03-29,53471.982142857145,25763.732039549017,-68979.51535413144,120506.97943322946,3.5285714285714285
2020-04-05,52845.267857142855,24603.794047347597,-72075.67762234609,121283.2657170413,4.428571428571429
2020-04-12,47210.88690476191,25177.952666941525,-73444.13830906163,123800.04364294467,10.885714285714286
