units,number_of_layers,dropout,learning_rate,best_epoch,validation_mse,validation_rmse_scaled
32,1,0.0,0.001,20,0.01761586405336857,0.1327247680478989
96,2,0.3,0.0005,18,0.019129617139697075,0.13830985915579944
64,2,0.2,0.0005,18,0.019496062770485878,0.13962830218292377
64,1,0.2,0.001,14,0.019589217379689217,0.13996148534396602
